,Data source,Infant Deaths,Maternal Deaths,No of PHC's,Percentage who had four or more ANC  District visits,Percentage who had four or more ANC  District visits,Percentage of births delivered  in a public health facility,Percentage of births delivered in a private health facility,MCV/Measles/MMR/MR,All basic vaccinations,All age appropriate vaccinations,No vaccinations,Percentage of children having any anaemia  (<11.0 g/dl ),Percentage of women with BMI <18.5 (total thin),Percentage of women with BMI >=25.0 (Overweight or obese),,,,,,,,,,,,,,,,,,,,,,,,
Ariyalur,NFHS 5 Total,95,15,4,91.4,91.4,72,28,100,90.8,79.9,0.0,62.0,15.6,33.3,,,,,,,,,,,,,,,,,,,,,,,,
Chennai,NFHS 5 Total,150,55,140,89.9,89.9,60.1,39.9,96.6,96.6,70.5,0.0,55.3,7.4,41.8,,,,,,,,,,,,,,,,,,,,,,,,
Coimbatore,NFHS 5 Total,269,32,37,90,90,60.1,39.9,98.3,94.5,87.7,0.0,37.8,10.1,49.9,,,,,,,,,,,,,,,,,,,,,,,,
Cuddalore,NFHS 5 Total,315,17,29,82.2,82.2,72.5,26.7,97.3,79,66.8,2.7,64.8,14.8,35.1,,,,,,,,,,,,,,,,,,,,,,,,
Dharmapuri,NFHS 5 Total,332,15,4,94.5,94.5,73,26.6,96.4,90.6,78.5,2.0,54.2,12.9,33.4,,,,,,,,,,,,,,,,,,,,,,,,
Dindigul,NFHS 5 Total,291,15,9,96.2,96.2,74.5,22.4,96,92.6,83.2,2.4,50.2,12.9,38.5,,,,,,,,,,,,,,,,,,,,,,,,
Erode,NFHS 5 Total,205,21,13,93.9,93.9,51.4,48.6,100,95.9,94.3,0.0,46.5,11.4,37.0,,,,,,,,,,,,,,,,,,,,,,,,
Kancheepuram,NFHS 5 Total,159,13,29,76.1,76.1,68.5,31.5,88.4,69,58.3,0.0,68.8,12.6,46.4,,,,,,,,,,,,,,,,,,,,,,,,
Kanniyakumari,NFHS 5 Total,136,10,24,84.2,84.2,39.4,60.6,100,96,90.1,0.0,39.1,5.9,53.0,,,,,,,,,,,,,,,,,,,,,,,,
Karur,NFHS 5 Total,160,7,7,95.7,95.7,56.8,43.2,93.9,82.5,74.6,2.8,73.2,17.9,34.7,,,,,,,,,,,,,,,,,,,,,,,,
Krishnagiri,NFHS 5 Total,355,16,0,93.1,93.1,75.9,23.7,91.1,87.3,74.3,3.3,46.5,11.7,34.5,,,,,,,,,,,,,,,,,,,,,,,,
Madurai,NFHS 5 Total,515,28,49,89.5,89.5,70,30,95.5,88.8,70.6,4.5,54.3,12.2,40.8,,,,,,,,,,,,,,,,,,,,,,,,
Nagapattinam,NFHS 5 Total,113,11,30,93.1,93.1,69,30.6,96.4,93.8,89,0,60.9,19.4,31.9,,,,,,,,,,,,,,,,,,,,,,,,
Namakkal,NFHS 5 Total,178,9,28,97.8,97.8,59.8,40.2,96.2,83.9,66.2,3.8,67.9,9.4,43.2,,,,,,,,,,,,,,,,,,,,,,,,
Perambalur,NFHS 5 Total,93,6,1,92.2,92.2,69.5,30.5,94.9,92.5,87.7,5.1,69.2,18.0,32.9,,,,,,,,,,,,,,,,,,,,,,,,
Pudukkottai,NFHS 5 Total,296,13,0,91.6,91.6,68.6,31.4,94.6,83.3,72.4,2.9,71.0,20.3,32.0,,,,,,,,,,,,,,,,,,,,,,,,
Ramanathapuram,NFHS 5 Total,158,15,2,88.2,88.2,725,27.1,96.5,90.3,78.3,3.5,57.2,15.7,34.1,,,,,,,,,,,,,,,,,,,,,,,,
Salem,NFHS 5 Total,430,43,14,85,85,63.7,36.3,84.3,77,68.6,0,51.3,10.1,40.3,,,,,,,,,,,,,,,,,,,,,,,,
Sivaganga,NFHS 5 Total,164,14,14,90.9,90.9,733,26.7,95.8,89.4,81.6,2,56.4,12.7,33.4,,,,,,,,,,,,,,,,,,,,,,,,
Thanjavur,NFHS 5 Total,366,18,49,93.7,93.7,59.5,40.5,89.4,78.5,57,0,64.8,12.7,42.8,,,,,,,,,,,,,,,,,,,,,,,,
The Nilgiris,NFHS 5 Total,76,7,3,92.5,92.5,62.2,37.8,96.2,90.1,72,0,45.8,10.8,39.5,,,,,,,,,,,,,,,,,,,,,,,,
Theni,NFHS 5 Total,212,16,2,98.6,98.6,81.7,18.3,97.3,95.2,95.2,1.5,46.8,10.3,45.2,,,,,,,,,,,,,,,,,,,,,,,,
Thiruvallur,NFHS 5 Total,272,29,36,85.4,85.4,72.3,27.7,98,88.6,79.6,2,58.4,10.5,48.6,,,,,,,,,,,,,,,,,,,,,,,,
Thiruvarur,NFHS 5 Total,152,9,27,92.3,92.3,62.7,37.3,100,97,97,0,45.0,15.4,37.1,,,,,,,,,,,,,,,,,,,,,,,,
Thoothukkudi,NFHS 5 Total,194,11,15,80.7,80.7,59.1,40.9,100,100,100,0,55.6,11.9,43.4,,,,,,,,,,,,,,,,,,,,,,,,
Tiruchirappalli,NFHS 5 Total,361,30,52,90.5,90.5,65.3,33.3,97.1,97.1,89.2,0,82.3,16.7,33.5,,,,,,,,,,,,,,,,,,,,,,,,
Tirunelveli,NFHS 5 Total,175,22,66,85,85,47.2,52.8,97.6,93.2,82.6,2.4,49.9,13.5,40.2,,,,,,,,,,,,,,,,,,,,,,,,
Tiruppur,NFHS 5 Total,228,9,11,93.5,93.5,61,39,97.1,97.1,94.4,2.9,44.7,9.8,45.0,,,,,,,,,,,,,,,,,,,,,,,,
Tiruvannamalai,NFHS 5 Total,443,24,57,97.6,97.6,85.8,13.3,95.5,92.7,80.5,3.0,64.7,12.6,37.8,,,,,,,,,,,,,,,,,,,,,,,,
Vellore,NFHS 5 Total,228,14,27,95.4,95.4,67.6,31.9,97.1,88.5,79.4,0,60.9,11.4,45.4,,,,,,,,,,,,,,,,,,,,,,,,
Viluppuram,NFHS 5 Total,280,16,62,94.9,94.9,84.3,14.8,100,76.7,61,0,73.4,17.2,37.0,,,,,,,,,,,,,,,,,,,,,,,,
Virudhunagar,NFHS 5 Total,278,13,0,83.4,83.4,66.3,31.5,,,,,58.9,14.1,37.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
